Index,Rolling Accuracy,Rolling Precision,Rolling Recall,Rolling F1-Score
3598,0.5,1.0,0.9981662591687042,0.9990822881615172
3599,0.5,1.0,0.9981662591687042,0.9990822881615172
3600,0.5,1.0,0.998167379352474,0.9990828492815653
3601,0.5,1.0,0.998167379352474,0.9990828492815653
3602,0.5,1.0,0.9981684981684982,0.999083409715857
3603,0.5,1.0,0.9981684981684982,0.999083409715857
3604,0.5,1.0,0.9981696156192801,0.9990839694656488
3605,0.5,1.0,0.9981696156192801,0.9990839694656488
3606,0.5,1.0,0.9981707317073171,0.9990845285321941
3607,0.5,1.0,0.9981707317073171,0.9990845285321941
3608,0.5,1.0,0.9981718464351006,0.9990850869167429
3609,0.5,1.0,0.9981718464351006,0.9990850869167429
3610,0.5,1.0,0.9981729598051157,0.9990856446205425
3611,0.5,1.0,0.9981729598051157,0.9990856446205425
3612,0.5,1.0,0.9981740718198417,0.9990862016448371
3613,0.5,1.0,0.9981740718198417,0.9990862016448371
3614,0.5,1.0,0.9981751824817519,0.9990867579908675
3615,0.5,1.0,0.9981751824817519,0.9990867579908675
3616,0.5,1.0,0.998176291793313,0.9990873136598722
3617,0.5,1.0,0.998176291793313,0.9990873136598722
3618,0.5,1.0,0.9981773997569866,0.9990878686530861
3619,0.5,1.0,0.9981773997569866,0.9990878686530861
3620,0.5,1.0,0.9981785063752276,0.9990884229717412
3621,0.5,1.0,0.9981785063752276,0.9990884229717412
3622,0.5,1.0,0.9981796116504854,0.9990889766170665
3623,0.5,1.0,0.9981796116504854,0.9990889766170665
3624,0.5,1.0,0.9981807155852032,0.9990895295902883
3625,0.5,1.0,0.9981807155852032,0.9990895295902883
3626,0.5,1.0,0.9981818181818182,0.9990900818926297
3627,0.5,1.0,0.9981818181818182,0.9990900818926297
3628,0.5,1.0,0.9981829194427619,0.9990906335253107
3629,0.5,1.0,0.9981829194427619,0.9990906335253107
3630,0.5,1.0,0.9981840193704601,0.9990911844895486
3631,0.5,1.0,0.9981840193704601,0.9990911844895486
3632,0.5,1.0,0.9981851179673321,0.9990917347865577
3633,0.5,1.0,0.9981851179673321,0.9990917347865577
3634,0.5,1.0,0.998186215235792,0.9990922844175492
3635,0.5,1.0,0.998186215235792,0.9990922844175492
3636,0.5,1.0,0.9981873111782478,0.9990928333837314
3637,0.5,1.0,0.9981873111782478,0.9990928333837314
3638,0.5,1.0,0.9981884057971014,0.99909338168631
3639,0.5,1.0,0.9981884057971014,0.99909338168631
3640,0.5,1.0,0.9981894990947495,0.9990939293264874
3641,0.5,1.0,0.9981894990947495,0.9990939293264874
3642,0.5,1.0,0.9981905910735827,0.9990944763054633
3643,0.5,1.0,0.9981905910735827,0.9990944763054633
3644,0.5,1.0,0.9981916817359855,0.9990950226244344
3645,0.5,1.0,0.9981916817359855,0.9990950226244344
3646,0.5,1.0,0.9981927710843373,0.9990955682845946
3647,0.5,1.0,0.9981927710843373,0.9990955682845946
3648,0.5,1.0,0.9981938591210114,0.9990961132871347
3649,0.5,1.0,0.9981938591210114,0.9990961132871347
3650,0.5,1.0,0.9981949458483754,0.999096657633243
3651,0.5,1.0,0.9981949458483754,0.999096657633243
3652,0.5,1.0,0.9981960312687913,0.9990972013241047
3653,0.5,1.0,0.9981960312687913,0.9990972013241047
3654,0.5,1.0,0.9981971153846154,0.9990977443609023
3655,0.5,1.0,0.9981971153846154,0.9990977443609023
3656,0.5,1.0,0.9981981981981982,0.9990982867448152
3657,0.5,1.0,0.9981981981981982,0.9990982867448152
3658,0.5,1.0,0.9981992797118847,0.9990988284770201
3659,0.5,1.0,0.9981992797118847,0.9990988284770201
3660,0.5,1.0,0.9982003599280144,0.999099369558691
3661,0.5,1.0,0.9982003599280144,0.999099369558691
3662,0.5,1.0,0.9982014388489209,0.9990999099909991
3663,0.5,1.0,0.9982014388489209,0.9990999099909991
3664,0.5,1.0,0.9982025164769323,0.9991004497751125
3665,0.5,1.0,0.9982025164769323,0.9991004497751125
3666,0.5,1.0,0.9982035928143712,0.9991009889121966
3667,0.5,1.0,0.9982035928143712,0.9991009889121966
3668,0.5,1.0,0.9982046678635548,0.9991015274034142
3669,0.5,1.0,0.9982046678635548,0.9991015274034142
3670,0.5,1.0,0.9982057416267942,0.9991020652499252
3671,0.5,1.0,0.9982057416267942,0.9991020652499252
3672,0.5,1.0,0.9982068141063957,0.9991026024528866
3673,0.5,1.0,0.9982068141063957,0.9991026024528866
3674,0.5,1.0,0.9982078853046595,0.9991031390134529
3675,0.5,1.0,0.9982078853046595,0.9991031390134529
3676,0.5,1.0,0.9982089552238806,0.9991036749327756
3677,0.5,1.0,0.9982089552238806,0.9991036749327756
3678,0.5,1.0,0.9982100238663485,0.9991042102120036
3679,0.5,1.0,0.9982100238663485,0.9991042102120036
3680,0.5,1.0,0.998211091234347,0.999104744852283
3681,0.5,1.0,0.998211091234347,0.999104744852283
3682,0.5,1.0,0.9982121573301549,0.999105278854757
3683,0.5,1.0,0.9982121573301549,0.999105278854757
3684,0.5,1.0,0.9982132221560452,0.9991058122205663
